"subId","estimatedValue","debtAmount","independentValuation","province","postalCode","maxBid"
"SUB-AT-2018-18R4586001028",12181.52,"",12181.52,"albacete","02002",9000
"SUB-AT-2018-18R4586001048",4576.13,"",4576.13,"ciudad_real","13500",1000
"SUB-AT-2018-18R4686001043",7353.38,"",7353.38,"valencia","46701",2500
"SUB-AT-2018-18R4686001051",7353.38,"",7353.38,"valencia","46701",3500
"SUB-AT-2019-18R2886001150",7125,"",7125,"madrid","28830",4000
"SUB-AT-2019-18R2986001186",36262.4,"",36262.4,"cordoba","14900",16000
"SUB-AT-2019-18R4686001213",8984.52,"",8984.52,"valencia","46730",3000
"SUB-AT-2019-19R0686001032",220080,"",220080,"madrid","28015",382000
"SUB-AT-2019-19R0886001022",374573.44,"",522241.43,"barcelona","08192",294000
"SUB-AT-2019-19R0886001080",312777.95,"",312777.95,"lerida","25213",142000
"SUB-AT-2019-19R0886001085",24656.54,"",24656.54,"lerida","25154",9500
"SUB-AT-2019-19R0886001086",40138,"",40138,"lerida","25154",9000
"SUB-AT-2019-19R0886001159",79308.71,"",103955,"barcelona","08392",96000
"SUB-AT-2019-19R0886001191",151500,"",151500,"lerida","25660",50000
"SUB-AT-2019-19R0886001227",45599.54,"",45599.54,"barcelona","08295",23000
"SUB-AT-2019-19R0886001298",766143.87,"",2412437.84,"barcelona","08130",50000
"SUB-AT-2019-19R0886001310",99826.56,"",99826.56,"barcelona","08006",118000
"SUB-AT-2019-19R0886001336",75670.41,"",96337.78,"tarragona","43580",24000
"SUB-AT-2019-19R0886001362",240448.91,"",240448.91,"gerona","17486",182000
"SUB-AT-2019-19R0886001363",150344.39,"",197301.18,"gerona","17486",56000
"SUB-AT-2019-19R0886001368",50269.58,"",50269.58,"barcelona","08700",33000
"SUB-AT-2019-19R0886001494",28326.51,"",28326.51,"gerona","17520",6000
"SUB-AT-2019-19R0886001535",13898.31,"",13898.31,"gerona","17300",6500
"SUB-AT-2019-19R0886001568",21815.19,"",21815.19,"gerona","17002",23500
"SUB-AT-2019-19R2886001250",178390.6,"",178390.6,"madrid","28008",184000
"SUB-AT-2019-19R2886001282",303344.04,"",303344.04,"leon","24400",62000
"SUB-AT-2019-19R2886001283",8546.8,"",8546.8,"zamora","49017",8000
"SUB-AT-2019-19R2886001285",827791.43,"",827791.43,"zamora","49017",462000
"SUB-AT-2019-19R2886001288",379286,"",379286,"zamora","49012",98000
"SUB-AT-2019-19R2886001290",190944,"",190944,"madrid","28050",176000
"SUB-AT-2019-19R2886001447",107310.65,"",107310.65,"malaga","29600",230000
"SUB-AT-2019-19R2886001475",14580,"",14580,"madrid","28046",37000
"SUB-AT-2019-19R2886001541",54900,"",54900,"madrid","28021",34000
"SUB-AT-2019-19R2886001556",18387.6,"",18387.6,"madrid","28010",18500
"SUB-AT-2019-19R2886001557",17329.2,"",17329.2,"madrid","28010",23500
"SUB-AT-2019-19R2886001558",23679.6,"",23679.6,"madrid","28010",19500
"SUB-AT-2019-19R2886001590",51470,"",51470,"navarra","31007",27000
"SUB-AT-2019-19R2886001620",149215.95,"",149215.95,"barcelona","08001",282000
"SUB-AT-2019-19R2886001641",53811.75,"",53811.75,"avila","05358",23000
"SUB-AT-2019-19R2886001649",10487.79,"",10487.79,"cadiz","11540",3500
"SUB-AT-2019-19R2886001650",11182.33,"",11182.33,"cadiz","11540",2500
"SUB-AT-2019-19R2886001651",13959.92,"",13959.92,"cadiz","11540",3500
"SUB-AT-2019-19R2886001661",30106,"",30106,"toledo","45940",19000
"SUB-AT-2019-19R2886001662",16951.9,"",16951.9,"a_coruna","15174",8000
"SUB-AT-2019-19R2886001664",142272,"",142272,"madrid","28050",154000
"SUB-AT-2019-19R2886001672",7983.21,"",7983.21,"malaga","29630",2500
"SUB-AT-2019-19R2886001673",4554.72,"",4554.72,"malaga","29630",2600
"SUB-AT-2019-19R2886001674",4554.72,"",4554.72,"malaga","29630",3000
"SUB-AT-2019-19R2886001675",2216.29,"",2216.29,"malaga","29630",2200
"SUB-AT-2019-19R2886001676",2216.29,"",2216.29,"malaga","29630",2000
"SUB-AT-2019-19R2886001678",5171.39,"",5171.39,"malaga","29630",2600
"SUB-AT-2019-19R2886001679",3931.99,"",3931.99,"malaga","29630",2400
"SUB-AT-2019-19R2886001682",3489.59,"",3489.59,"malaga","29630",1800
"SUB-AT-2019-19R2886001684",2136.23,"",2136.23,"malaga","29630",1200
"SUB-AT-2019-19R2886001685",5128.51,"",5128.51,"malaga","29630",1800
"SUB-AT-2019-19R2886001686",7792.81,"",7792.81,"malaga","29630",2500
"SUB-AT-2019-19R2886001687",9478.91,"",9478.91,"malaga","29630",2500
"SUB-AT-2019-19R2886001688",7983.21,"",7983.21,"malaga","29630",3000
"SUB-AT-2019-19R2886001691",6106.82,"",6106.82,"malaga","29630",2000
"SUB-AT-2019-19R2886001693",388651.26,"",388651.26,"avila","05194",94000
"SUB-AT-2019-19R2886001694",9800,"",9800,"madrid","28044",9000
"SUB-AT-2019-19R2886001702",49811.52,"",49811.52,"toledo","45313",51000
"SUB-AT-2019-19R2886001703",65545.32,"",65545.32,"toledo","45313",22000
"SUB-AT-2019-19R2886001704",13500,"",13500,"madrid","28012",23000
"SUB-AT-2019-19R2886001705",14250,"",14250,"madrid","28012",24000
"SUB-AT-2019-19R2886001714",70866.93,"",70866.93,"pontevedra","36202",30000
"SUB-AT-2019-19R2886001716",52766.26,"",67403.65,"madrid","28680",9000
"SUB-AT-2019-19R2886001725",41900.26,"",41900.26,"gerona","17123",21000
"SUB-AT-2019-19R2896001029",3306.39,"",3306.39,"sevilla","41001",5200
"SUB-AT-2019-19R2896001030",7285.57,"",7285.57,"sevilla","41001",9500
"SUB-AT-2019-19R2986001019",13321.05,"",13321.05,"malaga","29327",15000
"SUB-AT-2019-19R2986001057",14000,"",14000,"malaga","29602",46000
"SUB-AT-2019-19R2986001173",51236.49,"",51236.49,"sevilla","41620",22000
"SUB-AT-2019-19R3386001099",136495.73,"",197580.73,"asturias","33429",150000
"SUB-AT-2019-19R3386001102",131111,"",131111,"madrid","28400",46000
"SUB-AT-2019-19R3886001048",10563.56,"",10563.56,"santa_cruz_de_tenerife","38620",5500
"SUB-AT-2019-19R3986001040",6049.61,"",6049.61,"cantabria","39009",1500
"SUB-AT-2019-19R3986001041",6429.05,"",6429.05,"cantabria","39009",1500
"SUB-AT-2019-19R3986001042",9075.4,"",9075.4,"cantabria","39009",2500
"SUB-AT-2019-19R4186001494",2011868.55,"",2011868.55,"cadiz","11591",512000
"SUB-AT-2019-19R4586001178",4624.3,"",4624.3,"ciudad_real","13610",3600
"SUB-AT-2019-19R4586001179",2226.19,"",2226.19,"ciudad_real","13620",2400
"SUB-AT-2019-19R4586001271",2945.28,"",2945.28,"toledo","45350",3600
"SUB-AT-2019-19R4686001052",27714.22,"",137316.63,"valencia","46023",54500
"SUB-AT-2019-19R4686001053",112100.71,"",112100.71,"valencia","46023",128000
"SUB-AT-2019-19R4686001084",24750,"",24750,"valencia","46001",30000
"SUB-AT-2019-19R4686001085",24750,"",24750,"valencia","46001",31000
"SUB-AT-2019-19R4686001167",70393.53,"",70393.53,"valencia","46410",50000
"SUB-AT-2019-19R4686001195",60147.9,"",60147.9,"valencia","46920",54000
"SUB-AT-2019-19R4686001247",9615.11,"",9615.11,"valencia","46970",6000
"SUB-AT-2019-19R4686001248",9615.11,"",9615.11,"valencia","46970",6000
"SUB-AT-2019-19R4686001278",262149.14,"",263958.64,"alicante","03520",108000
"SUB-AT-2019-19R4686001316",56925,"",56925,"valencia","46001",70000
"SUB-AT-2019-19R4686001321",24750,"",24750,"valencia","46001",31000
"SUB-AT-2019-19R4686001322",2475,"",2475,"valencia","46001",13000
"SUB-AT-2019-19R4686001323",24750,"",24750,"valencia","46001",33000
"SUB-AT-2019-19R4686001324",24750,"",24750,"valencia","46001",31000
"SUB-AT-2019-19R4686001332",18569.36,"",18569.36,"valencia","46400",19000
"SUB-AT-2019-19R4686001366",105835.88,"",105835.88,"alicante","03189",36000
"SUB-AT-2019-19R4686001437",4324.3,"",4324.3,"castellon","12526",1400
"SUB-AT-2019-19R4686001460",2007.66,"",2007.66,"valencia","46529",3800
"SUB-AT-2019-19R4686001462",2657.58,"",2657.58,"valencia","46529",1000
"SUB-AT-2019-19R4686001464",1733.5,"",1733.5,"valencia","46529",2000
"SUB-AT-2019-19R4686001467",1380.74,"",1380.74,"valencia","46510",500
"SUB-AT-2019-19R4686001501",37881.6,"",37881.6,"teruel","44003",19000
"SUB-AT-2019-19R4686001502",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001503",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001504",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001505",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001506",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001507",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001508",37362.67,"",37362.67,"teruel","44003",19000
"SUB-AT-2019-19R4686001509",67979.31,"",67979.31,"teruel","44003",34000
"SUB-AT-2019-19R4686001512",37362.67,"",37362.67,"teruel","44001",19000
"SUB-AT-2019-19R4686001548",129830.28,"",129830.28,"castellon","12540",76000
"SUB-AT-2019-19R4686001690",913586.12,"",913586.12,"valencia","46023",458000
"SUB-AT-2019-19R4686001694",18490.86,"",18490.86,"valencia","46023",15000
"SUB-AT-2019-19R4686001742",62149.16,"",62149.16,"castellon","12001",78000
"SUB-AT-2019-19R4686001749",1453.89,"",1453.89,"valencia","46166",500
"SUB-AT-2019-19R4686001770",812.87,"",812.87,"valencia","46166",400
"SUB-AT-2019-19R4686001778",934.51,"",934.51,"valencia","46166",300
"SUB-AT-2019-19R4686001788",874.65,"",874.65,"valencia","46166",300
"SUB-AT-2019-19R4686001792",600.48,"",600.48,"valencia","46166",400
"SUB-AT-2019-19R4686001812",552.12,"",552.12,"valencia","46166",250
"SUB-AT-2019-19R4686001821",1712.62,"",1712.62,"valencia","46166",600
"SUB-AT-2019-19R4686001831",787.77,"",787.77,"valencia","46166",300
"SUB-AT-2019-19R4686001841",1718.41,"",1718.41,"valencia","46166",600
"SUB-AT-2019-19R4686001851",1324.89,"",1324.89,"valencia","46166",700
"SUB-AT-2019-19R4686001852",3970.83,"",3970.83,"valencia","46166",2000
"SUB-AT-2019-19R4686001877",375.81,"",375.81,"valencia","46166",200
"SUB-AT-2019-19R4686001880",1176.31,"",1176.31,"valencia","46166",500
"SUB-AT-2019-19R4686001882",1187.44,"",1187.44,"valencia","46166",400
"SUB-AT-2019-19R4686001885",892.03,"",892.03,"valencia","46166",300
"SUB-AT-2019-19R4686001940",34659.38,"",34659.38,"valencia","46400",23000
"SUB-AT-2019-19R4686001949",782.75,"",782.75,"valencia","46166",300
"SUB-AT-2019-19R4686001953",284.21,"",284.21,"valencia","46166",150
"SUB-AT-2019-19R4686001956",441.9,"",441.9,"valencia","46166",150
"SUB-AT-2019-19R4686001997",3210.31,"",3210.31,"valencia","46166",1200
"SUB-AT-2019-19R4686001A01",3960.95,"",35769.6,"valencia","46004",25200
"SUB-AT-2019-19R4686001A06",1209.95,"",33018.6,"valencia","46004",900
"SUB-AT-2019-19R4686001A25",1235.91,"",1235.91,"valencia","46166",500
"SUB-AT-2019-19R4686001A42",1250.06,"",1250.06,"valencia","46166",400
"SUB-AT-2019-19R4686001A47",4628.55,"",4628.55,"castellon","12540",2400
"SUB-AT-2019-19R4686001A49",1745.16,"",1745.16,"castellon","12540",1000
"SUB-AT-2019-19R4686001A51",1221.71,"",1221.71,"castellon","12540",700
"SUB-AT-2019-19R4686001A52",2634.53,"",2634.53,"castellon","12540",1400
"SUB-AT-2019-19R4686001A54",2617.73,"",2617.73,"castellon","12540",1400
"SUB-AT-2019-19R4686001A55",1221.71,"",1221.71,"castellon","12540",700
"SUB-AT-2019-19R4686001A56",2700.69,"",2700.69,"castellon","12540",1400
"SUB-AT-2019-19R4686001A58",1527.81,"",1527.81,"castellon","12540",800
"SUB-AT-2019-19R4686001A60",1527.81,"",1527.81,"castellon","12540",800
"SUB-AT-2019-19R4686001A63",13788.36,"",13788.36,"valencia","46190",23000
"SUB-AT-2019-19R4686001B12",16846.21,"",16846.21,"alicante","03700",5500
"SUB-AT-2019-19R4686001B22",18094.53,"",18094.53,"valencia","46701",11000
"SUB-AT-2019-19R4786001043",2835,"",2835,"leon","24127",2400
"SUB-AT-2019-19R4786001107",9000,"",9000,"navarra","31593",3000
"SUB-AT-2019-19R4786001142",235612,"",235612,"burgos","09002",162000
"SUB-AT-2019-19R4786001157",18000,"",18000,"palencia","34001",17000
"SUB-AT-2019-19R4786001173",2400,"",2400,"soria","42114",400
"SUB-AT-2019-19R4786001174",600,"",600,"soria","42114",200
"SUB-AT-2019-19R5086001011",103811.39,"",140543.08,"zaragoza","50012",44000
"SUB-AT-2019-19R5086001051",198705.46,"",204760.66,"castellon","12200",124000
"SUB-AT-2019-19R5086001073",2000000,"",2000000,"huesca","22146",672000
"SUB-AT-2019-19R5086001084",13287.77,"",13287.77,"zaragoza","50007",8500
"SUB-AT-2020-18R0886001037",290213.45,"",290213.45,"barcelona","08830",306000
"SUB-AT-2020-18R0886001038",89353.56,"",89353.56,"barcelona","08028",72000
"SUB-AT-2020-18R4686001149",27082.24,"",31082.24,"valencia","46470",16500
"SUB-AT-2020-19R0686001037",7090.4,"",7090.4,"badajoz","06207",4500
"SUB-AT-2020-19R0686001038",7090.4,"",7090.4,"badajoz","06207",5000
"SUB-AT-2020-19R0686001039",7090.4,"",7090.4,"badajoz","06207",1500
"SUB-AT-2020-19R0686001040",7090.4,"",7090.4,"badajoz","06207",4500
"SUB-AT-2020-19R0686001041",11342.52,"",11342.52,"badajoz","06207",5000
"SUB-AT-2020-19R0686001042",11342.52,"",11342.52,"badajoz","06207",5000
"SUB-AT-2020-19R0786001062",61327.34,"",61327.34,"cadiz","11380",120000
"SUB-AT-2020-19R0786001087",33198.66,"",110916,"barcelona","08207",22000
"SUB-AT-2020-19R0786001091",104677.98,"",109500,"baleares","07702",26000
"SUB-AT-2020-19R0786001092",83300,"",83300,"baleares","07007",50000
"SUB-AT-2020-19R0786001093",180600,"",180600,"baleares","07008",130000
"SUB-AT-2020-19R0886001011",21392,"",21392,"tarragona","43820",4000
"SUB-AT-2020-19R0886001323",23856.64,"",23856.64,"tarragona","43884",10000
"SUB-AT-2020-19R0886001324",54474.69,"",54474.69,"lerida","25242",28000
"SUB-AT-2020-19R0886001328",41660.75,"",41660.75,"tarragona","43830",15000
"SUB-AT-2020-19R0886001385",12660.18,"",12660.18,"murcia","30570",2000
"SUB-AT-2020-19R0886001411",71658.37,"",71658.37,"barcelona","08870",56000
"SUB-AT-2020-19R0886001412",16194.88,"",16194.88,"barcelona","08222",10000
"SUB-AT-2020-19R0886001413",170259.46,"",170259.46,"barcelona","08004",128000
"SUB-AT-2020-19R0886001414",74641.36,"",74641.36,"barcelona","08004",62000
"SUB-AT-2020-19R0886001415",15661.95,"",15661.95,"barcelona","08201",9500
"SUB-AT-2020-19R0886001422",528138.79,"",631359.4,"barcelona","08906",180000
"SUB-AT-2020-19R0886001429",21629.13,"",21629.13,"barcelona","08042",5000
"SUB-AT-2020-19R0886001430",21629.13,"",21629.13,"barcelona","08033",5000
"SUB-AT-2020-19R0886001436",110088.99,"",139960.31,"gerona","17520",220000
"SUB-AT-2020-19R0886001437",48689.52,"",48689.52,"barcelona","08810",9000
"SUB-AT-2020-19R0886001446",169560.89,"",169560.89,"barcelona","08004",154000
"SUB-AT-2020-19R0886001451",552305.05,"",552305.05,"santa_cruz_de_tenerife","38390",340000
"SUB-AT-2020-19R0886001459",859341.36,"",974477.76,"barcelona","08490",150000
"SUB-AT-2020-19R0886001468",88072.64,"",88072.64,"gerona","17744",90000
"SUB-AT-2020-19R0886001475",43022,"",43022,"barcelona","08918",19000
