"subId","estimatedValue","debtAmount","independentValuation","longitude","latitude","maxBid"
"SUB-AT-2018-18R4586001028",12181.52,0,12181.52,-1.8525626,38.9873668,9000
"SUB-AT-2018-18R4586001048",4576.13,0,4576.13,-4.1053307,38.691151,1000
"SUB-AT-2018-18R4686001043",7353.38,0,7353.38,-0.1799368,38.9744946,2500
"SUB-AT-2018-18R4686001051",7353.38,0,7353.38,-0.1799368,38.9744946,3500
"SUB-AT-2019-18R2886001150",7125,0,7125,-3.5104537,40.42905289999999,4000
"SUB-AT-2019-18R2986001186",36262.4,0,36262.4,-4.5418141,37.3598432,16000
"SUB-AT-2019-18R4686001213",8984.52,0,8984.52,-0.1729106,38.9927623,3000
"SUB-AT-2019-19R0686001032",220080,0,220080,-3.7105118,40.4304536,382000
"SUB-AT-2019-19R0886001022",374573.44,0,522241.43,2.0714223,41.5276681,294000
"SUB-AT-2019-19R0886001080",312777.95,0,312777.95,1.3372823,41.6233669,142000
"SUB-AT-2019-19R0886001085",24656.54,0,24656.54,0.7627879999999999,41.4887592,9500
"SUB-AT-2019-19R0886001086",40138,0,40138,0.7627879999999999,41.4887592,9000
"SUB-AT-2019-19R0886001159",79308.71,0,103955,2.4851463,41.579406,96000
"SUB-AT-2019-19R0886001191",151500,0,151500,0.7057789999999999,41.6489057,50000
"SUB-AT-2019-19R0886001227",45599.54,0,45599.54,1.8757422,41.6707039,23000
"SUB-AT-2019-19R0886001298",766143.87,0,2412437.84,2.1794136,41.5356682,50000
"SUB-AT-2019-19R0886001310",99826.56,0,99826.56,2.1487078,41.3999835,118000
"SUB-AT-2019-19R0886001336",75670.41,0,96337.78,0.7342734,40.7338056,24000
"SUB-AT-2019-19R0886001362",240448.91,0,240448.91,3.0826673,42.2491738,182000
"SUB-AT-2019-19R0886001363",150344.39,0,197301.18,3.0826673,42.2491738,56000
"SUB-AT-2019-19R0886001368",50269.58,0,50269.58,1.6226538,41.5847817,33000
"SUB-AT-2019-19R0886001494",28326.51,0,28326.51,1.9245812,42.4318013,6000
"SUB-AT-2019-19R0886001535",13898.31,0,13898.31,2.7829605,41.69222,6500
"SUB-AT-2019-19R0886001568",21815.19,0,21815.19,2.8190749,41.9780945,23500
"SUB-AT-2019-19R2886001250",178390.6,0,178390.6,-3.725738599999999,40.4299652,184000
"SUB-AT-2019-19R2886001282",303344.04,0,303344.04,-6.6157192,42.5510621,62000
"SUB-AT-2019-19R2886001283",8546.8,0,8546.8,-5.734589499999999,41.5027511,8000
"SUB-AT-2019-19R2886001285",827791.43,0,827791.43,-5.734589499999999,41.5027511,462000
"SUB-AT-2019-19R2886001288",379286,0,379286,-5.7388682,41.5090783,98000
"SUB-AT-2019-19R2886001290",190944,0,190944,-3.667394199999999,40.500471,176000
"SUB-AT-2019-19R2886001447",107310.65,0,107310.65,-4.919894900000001,36.5154127,230000
"SUB-AT-2019-19R2886001475",14580,0,14580,-3.6864121,40.4731818,37000
"SUB-AT-2019-19R2886001541",54900,0,54900,-3.6978264,40.3366601,34000
"SUB-AT-2019-19R2886001556",18387.6,0,18387.6,-3.6952896,40.43094,18500
"SUB-AT-2019-19R2886001557",17329.2,0,17329.2,-3.6952896,40.43094,23500
"SUB-AT-2019-19R2886001558",23679.6,0,23679.6,-3.6952896,40.43094,19500
"SUB-AT-2019-19R2886001590",51470,0,51470,-1.6505672,42.806837,27000
"SUB-AT-2019-19R2886001620",149215.95,0,149215.95,2.1683571,41.3795863,282000
"SUB-AT-2019-19R2886001641",53811.75,0,53811.75,-4.8624355,40.8463606,23000
"SUB-AT-2019-19R2886001649",10487.79,0,10487.79,-6.2907139,36.7987362,3500
"SUB-AT-2019-19R2886001650",11182.33,0,11182.33,-6.2907139,36.7987362,2500
"SUB-AT-2019-19R2886001651",13959.92,0,13959.92,-6.2907139,36.7987362,3500
"SUB-AT-2019-19R2886001661",30106,0,30106,-4.100217,40.2058163,19000
"SUB-AT-2019-19R2886001662",16951.9,0,16951.9,-8.3910127,43.3152531,8000
"SUB-AT-2019-19R2886001664",142272,0,142272,-3.667394199999999,40.500471,154000
"SUB-AT-2019-19R2886001672",7983.21,0,7983.21,-4.588239199999999,36.5807015,2500
"SUB-AT-2019-19R2886001673",4554.72,0,4554.72,-4.588239199999999,36.5807015,2600
"SUB-AT-2019-19R2886001674",4554.72,0,4554.72,-4.588239199999999,36.5807015,3000
"SUB-AT-2019-19R2886001675",2216.29,0,2216.29,-4.588239199999999,36.5807015,2200
"SUB-AT-2019-19R2886001676",2216.29,0,2216.29,-4.588239199999999,36.5807015,2000
"SUB-AT-2019-19R2886001678",5171.39,0,5171.39,-4.588239199999999,36.5807015,2600
"SUB-AT-2019-19R2886001679",3931.99,0,3931.99,-4.588239199999999,36.5807015,2400
"SUB-AT-2019-19R2886001682",3489.59,0,3489.59,-4.588239199999999,36.5807015,1800
"SUB-AT-2019-19R2886001684",2136.23,0,2136.23,-4.588239199999999,36.5807015,1200
"SUB-AT-2019-19R2886001685",5128.51,0,5128.51,-4.588239199999999,36.5807015,1800
"SUB-AT-2019-19R2886001686",7792.81,0,7792.81,-4.588239199999999,36.5807015,2500
"SUB-AT-2019-19R2886001687",9478.91,0,9478.91,-4.588239199999999,36.5807015,2500
"SUB-AT-2019-19R2886001688",7983.21,0,7983.21,-4.588239199999999,36.5807015,3000
"SUB-AT-2019-19R2886001691",6106.82,0,6106.82,-4.588239199999999,36.5807015,2000
"SUB-AT-2019-19R2886001693",388651.26,0,388651.26,-4.5934,40.6956435,94000
"SUB-AT-2019-19R2886001694",9800,0,9800,-3.7714464,40.3775878,9000
"SUB-AT-2019-19R2886001702",49811.52,0,49811.52,-3.6927531,39.91235169999999,51000
"SUB-AT-2019-19R2886001703",65545.32,0,65545.32,-3.6927531,39.91235169999999,22000
"SUB-AT-2019-19R2886001704",13500,0,13500,-3.701631699999999,40.4091106,23000
"SUB-AT-2019-19R2886001705",14250,0,14250,-3.701631699999999,40.4091106,24000
"SUB-AT-2019-19R2886001714",70866.93,0,70866.93,-8.727469,42.2370719,30000
"SUB-AT-2019-19R2886001716",52766.26,0,67403.65,-4.3770704,40.36902730000001,9000
"SUB-AT-2019-19R2886001725",41900.26,0,41900.26,3.1328011,41.9514115,21000
"SUB-AT-2019-19R2896001029",3306.39,0,3306.39,-5.997800499999999,37.3896172,5200
"SUB-AT-2019-19R2896001030",7285.57,0,7285.57,-5.997800499999999,37.3896172,9500
"SUB-AT-2019-19R2986001019",13321.05,0,13321.05,-4.914323899999999,36.9600698,15000
"SUB-AT-2019-19R2986001057",14000,0,14000,-4.9247074,36.5187909,46000
"SUB-AT-2019-19R2986001173",51236.49,0,51236.49,-5.3520876,37.3046946,22000
"SUB-AT-2019-19R3386001099",136495.73,0,197580.73,-5.7826597,43.4051337,150000
"SUB-AT-2019-19R3386001102",131111,0,131111,-3.9980485,40.6367104,46000
"SUB-AT-2019-19R3886001048",10563.56,0,10563.56,-16.6114474,28.0949665,5500
"SUB-AT-2019-19R3986001040",6049.61,0,6049.61,-3.8159239,43.45272509999999,1500
"SUB-AT-2019-19R3986001041",6429.05,0,6429.05,-3.8159239,43.45272509999999,1500
"SUB-AT-2019-19R3986001042",9075.4,0,9075.4,-3.8159239,43.45272509999999,2500
"SUB-AT-2019-19R4186001494",2011868.55,0,2011868.55,-6.0732146,36.7187866,512000
"SUB-AT-2019-19R4586001178",4624.3,0,4624.3,-3.0576199,39.4049862,3600
"SUB-AT-2019-19R4586001179",2226.19,0,2226.19,-2.9575607,39.3868534,2400
"SUB-AT-2019-19R4586001271",2945.28,0,2945.28,-3.4397386,39.9919241,3600
"SUB-AT-2019-19R4686001052",27714.22,0,137316.63,-0.3536548,39.4626141,54500
"SUB-AT-2019-19R4686001053",112100.71,0,112100.71,-0.3536548,39.4626141,128000
"SUB-AT-2019-19R4686001084",24750,0,24750,-0.380721,39.4741757,30000
"SUB-AT-2019-19R4686001085",24750,0,24750,-0.380721,39.4741757,31000
"SUB-AT-2019-19R4686001167",70393.53,0,70393.53,-0.3062282,39.2043643,50000
"SUB-AT-2019-19R4686001195",60147.9,0,60147.9,-0.4195876,39.4779243,54000
"SUB-AT-2019-19R4686001247",9615.11,0,9615.11,-0.4714694,39.4518434,6000
"SUB-AT-2019-19R4686001248",9615.11,0,9615.11,-0.4714694,39.4518434,6000
"SUB-AT-2019-19R4686001278",262149.14,0,263958.64,-0.1588618,38.6214109,108000
"SUB-AT-2019-19R4686001316",56925,0,56925,-0.380721,39.4741757,70000
"SUB-AT-2019-19R4686001321",24750,0,24750,-0.380721,39.4741757,31000
"SUB-AT-2019-19R4686001322",2475,0,2475,-0.380721,39.4741757,13000
"SUB-AT-2019-19R4686001323",24750,0,24750,-0.380721,39.4741757,33000
"SUB-AT-2019-19R4686001324",24750,0,24750,-0.380721,39.4741757,31000
"SUB-AT-2019-19R4686001332",18569.36,0,18569.36,-0.2713944,39.1436474,19000
"SUB-AT-2019-19R4686001366",105835.88,0,105835.88,-0.7627879999999999,37.9230139,36000
"SUB-AT-2019-19R4686001437",4324.3,0,4324.3,-0.1939932,39.8654653,1400
"SUB-AT-2019-19R4686001460",2007.66,0,2007.66,-0.203367,39.6903349,3800
"SUB-AT-2019-19R4686001462",2657.58,0,2657.58,-0.203367,39.6903349,1000
"SUB-AT-2019-19R4686001464",1733.5,0,1733.5,-0.203367,39.6903349,2000
"SUB-AT-2019-19R4686001467",1380.74,0,1380.74,-0.2373658,39.72507600000001,500
"SUB-AT-2019-19R4686001501",37881.6,0,37881.6,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001502",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001503",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001504",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001505",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001506",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001507",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001508",37362.67,0,37362.67,-1.1137191,40.3519998,19000
"SUB-AT-2019-19R4686001509",67979.31,0,67979.31,-1.1137191,40.3519998,34000
"SUB-AT-2019-19R4686001512",37362.67,0,37362.67,-1.1137191,40.3417974,19000
"SUB-AT-2019-19R4686001548",129830.28,0,129830.28,-0.1214235,39.9298174,76000
"SUB-AT-2019-19R4686001690",913586.12,0,913586.12,-0.3536548,39.4626141,458000
"SUB-AT-2019-19R4686001694",18490.86,0,18490.86,-0.3536548,39.4626141,15000
"SUB-AT-2019-19R4686001742",62149.16,0,62149.16,-0.0390704,39.9870027,78000
"SUB-AT-2019-19R4686001749",1453.89,0,1453.89,-0.8389251999999999,39.5765031,500
"SUB-AT-2019-19R4686001770",812.87,0,812.87,-0.8389251999999999,39.5765031,400
"SUB-AT-2019-19R4686001778",934.51,0,934.51,-0.8389251999999999,39.5765031,300
"SUB-AT-2019-19R4686001788",874.65,0,874.65,-0.8389251999999999,39.5765031,300
"SUB-AT-2019-19R4686001792",600.48,0,600.48,-0.8389251999999999,39.5765031,400
"SUB-AT-2019-19R4686001812",552.12,0,552.12,-0.8389251999999999,39.5765031,250
"SUB-AT-2019-19R4686001821",1712.62,0,1712.62,-0.8389251999999999,39.5765031,600
"SUB-AT-2019-19R4686001831",787.77,0,787.77,-0.8389251999999999,39.5765031,300
"SUB-AT-2019-19R4686001841",1718.41,0,1718.41,-0.8389251999999999,39.5765031,600
"SUB-AT-2019-19R4686001851",1324.89,0,1324.89,-0.8389251999999999,39.5765031,700
"SUB-AT-2019-19R4686001852",3970.83,0,3970.83,-0.8389251999999999,39.5765031,2000
"SUB-AT-2019-19R4686001877",375.81,0,375.81,-0.8389251999999999,39.5765031,200
"SUB-AT-2019-19R4686001880",1176.31,0,1176.31,-0.8389251999999999,39.5765031,500
"SUB-AT-2019-19R4686001882",1187.44,0,1187.44,-0.8389251999999999,39.5765031,400
"SUB-AT-2019-19R4686001885",892.03,0,892.03,-0.8389251999999999,39.5765031,300
"SUB-AT-2019-19R4686001940",34659.38,0,34659.38,-0.2713944,39.1436474,23000
"SUB-AT-2019-19R4686001949",782.75,0,782.75,-0.8389251999999999,39.5765031,300
"SUB-AT-2019-19R4686001953",284.21,0,284.21,-0.8389251999999999,39.5765031,150
"SUB-AT-2019-19R4686001956",441.9,0,441.9,-0.8389251999999999,39.5765031,150
"SUB-AT-2019-19R4686001997",3210.31,0,3210.31,-0.8389251999999999,39.5765031,1200
"SUB-AT-2019-19R4686001A01",3960.95,0,35769.6,-0.3707161,39.4683848,25200
"SUB-AT-2019-19R4686001A06",1209.95,0,33018.6,-0.3707161,39.4683848,900
"SUB-AT-2019-19R4686001A25",1235.91,0,1235.91,-0.8389251999999999,39.5765031,500
"SUB-AT-2019-19R4686001A42",1250.06,0,1250.06,-0.8389251999999999,39.5765031,400
"SUB-AT-2019-19R4686001A47",4628.55,0,4628.55,-0.1214235,39.9298174,2400
"SUB-AT-2019-19R4686001A49",1745.16,0,1745.16,-0.1214235,39.9298174,1000
